iter	Passed	Remaining
0	2	2461
1	4	2363
2	7	2382
3	9	2419
4	11	2381
5	14	2400
6	16	2394
7	19	2391
8	22	2497
9	24	2463
10	28	2548
11	30	2539
12	34	2625
13	37	2664
14	42	2795
15	45	2822
16	48	2803
17	51	2788
18	53	2769
19	56	2765
20	59	2788
21	61	2733
22	63	2705
23	66	2689
24	68	2668
25	70	2655
26	72	2620
27	74	2594
28	77	2599
29	79	2554
30	81	2552
31	84	2558
32	87	2564
33	90	2562
34	92	2552
35	95	2562
36	98	2567
37	101	2567
38	103	2554
39	106	2549
40	108	2526
41	109	2502
42	111	2472
43	112	2450
44	114	2440
45	115	2404
46	117	2377
47	118	2359
48	120	2341
49	121	2311
50	123	2291
51	124	2269
52	125	2246
53	126	2220
54	127	2195
55	128	2171
56	129	2149
57	130	2127
58	131	2103
59	132	2081
60	133	2058
61	134	2034
62	135	2016
63	137	2010
64	138	1991
65	139	1974
66	140	1956
67	141	1943
68	142	1926
69	143	1911
70	144	1894
71	145	1876
72	146	1857
73	147	1840
74	148	1826
75	148	1811
76	149	1793
77	150	1777
78	151	1762
79	152	1748
80	152	1735
81	153	1723
82	154	1706
83	155	1692
84	156	1679
85	156	1666
86	157	1651
87	157	1636
88	158	1623
89	159	1613
90	160	1602
91	161	1591
92	161	1578
93	162	1566
94	163	1555
95	163	1543
96	164	1531
97	165	1520
98	166	1511
99	166	1502
100	167	1492
101	168	1482
102	168	1471
103	169	1460
104	170	1449
105	170	1439
106	171	1429
107	172	1422
108	173	1415
109	173	1406
110	174	1398
111	175	1388
112	175	1378
113	176	1368
114	176	1360
115	177	1351
116	177	1343
117	178	1337
118	179	1330
119	180	1323
120	181	1316
121	181	1307
122	182	1299
123	182	1290
124	183	1283
125	184	1276
126	184	1269
127	185	1262
128	185	1254
129	186	1247
130	187	1240
131	187	1234
132	188	1227
133	188	1220
134	189	1213
135	190	1208
136	190	1201
137	191	1195
138	191	1189
139	192	1182
140	193	1175
141	193	1168
142	193	1162
143	194	1156
144	195	1150
145	195	1145
146	196	1140
147	197	1135
148	197	1130
149	198	1125
150	199	1120
151	199	1114
152	200	1109
153	201	1104
154	201	1100
155	202	1096
156	203	1092
157	204	1087
158	204	1083
159	205	1078
160	205	1072
161	206	1067
162	206	1062
163	207	1058
164	208	1055
165	209	1051
166	209	1047
167	210	1043
168	211	1039
169	212	1035
170	212	1031
171	213	1027
172	214	1025
173	215	1022
174	216	1018
175	216	1015
176	217	1011
177	218	1007
178	218	1003
179	219	1000
180	220	997
181	221	994
182	222	991
183	222	988
184	223	985
185	224	981
186	224	978
187	225	974
188	226	971
189	227	969
190	228	967
191	229	963
192	229	960
193	230	957
194	231	953
195	231	950
196	232	948
197	233	946
198	234	943
199	235	940
200	235	937
201	236	934
202	237	931
203	237	928
204	238	926
205	239	924
206	240	921
207	241	919
208	242	916
209	243	914
210	243	911
211	244	909
212	245	907
213	246	905
214	247	902
215	248	900
216	248	897
217	249	894
218	250	891
219	251	890
220	252	888
221	252	886
222	253	883
223	254	881
224	255	878
225	255	876
226	256	874
227	257	873
228	258	871
229	259	869
230	260	867
231	261	864
232	262	862
233	262	860
234	263	858
235	264	857
236	265	854
237	266	853
238	267	850
239	267	848
240	268	845
241	269	844
242	270	843
243	271	840
244	272	839
245	273	837
246	274	836
247	275	834
248	276	833
249	277	832
250	278	830
251	279	828
252	279	826
253	280	824
254	281	823
255	282	821
256	283	820
257	284	817
258	285	816
259	286	814
260	286	811
261	287	810
262	288	809
263	289	807
264	290	805
265	291	803
266	292	801
267	292	799
268	293	798
269	294	797
270	295	795
271	296	793
272	297	791
273	297	789
274	298	787
275	299	785
276	300	784
277	301	782
278	302	781
279	302	779
280	303	776
281	304	774
282	304	772
283	305	771
284	306	769
285	307	767
286	308	766
287	309	764
288	309	762
289	310	759
290	310	757
291	311	755
292	312	754
293	313	753
294	314	751
295	315	750
296	316	748
297	316	746
298	317	744
299	318	743
300	319	741
301	320	739
302	320	737
303	321	735
304	321	733
305	322	731
306	323	729
307	323	727
308	324	726
309	325	724
310	326	722
311	327	721
312	327	719
313	328	718
314	329	717
315	330	715
316	331	713
317	332	712
318	333	711
319	334	709
320	334	708
321	335	706
322	336	704
323	337	703
324	337	701
325	338	699
326	339	697
327	339	696
328	340	694
329	340	692
330	341	690
331	342	689
332	343	687
333	344	686
334	344	684
335	345	682
336	346	681
337	346	679
338	347	677
339	348	676
340	349	674
341	349	673
342	350	671
343	351	669
344	351	668
345	352	666
346	353	664
347	354	663
348	354	662
349	355	660
350	356	658
351	356	657
352	357	655
353	358	653
354	358	651
355	359	649
356	360	648
357	360	647
358	361	646
359	362	644
360	363	642
361	363	641
362	364	639
363	364	637
364	365	635
365	366	634
366	367	633
367	367	631
368	368	630
369	369	628
370	369	627
371	370	625
372	371	623
373	371	622
374	372	621
375	373	619
376	374	618
377	374	616
378	375	615
379	376	613
380	376	611
